l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[0.5583154559135437, 0.2879650890827179, -0.11204572021961212]","[0.44306281208992004, 0.26334497332572937, -0.07811542600393295]","[0.5656119585037231, 0.44853103160858154, -0.0805884450674057]","[0.4084891974925995, 0.3915301263332367, -0.11783638596534729]","[0.5653725266456604, 0.5963093638420105, -0.18712760508060455]","[0.4021932780742645, 0.4896238446235657, -0.32872578501701355]","[0.5220159888267517, 0.5898436307907104, -0.012373873963952065]","[0.454832524061203, 0.5827191472053528, 0.012479012832045555]"
"[0.558413565158844, 0.2882928252220154, -0.11288794875144958]","[0.44307753443717957, 0.2631528079509735, -0.08078699558973312]","[0.5658318996429443, 0.44861599802970886, -0.07750389724969864]","[0.40724700689315796, 0.388744056224823, -0.13650669157505035]","[0.5654795169830322, 0.595902681350708, -0.18068331480026245]","[0.40527212619781494, 0.47527268528938293, -0.3579452633857727]","[0.5220150351524353, 0.589834451675415, -0.010508311912417412]","[0.45496103167533875, 0.5826616287231445, 0.010588678531348705]"
"[0.5584291219711304, 0.28839316964149475, -0.11362337321043015]","[0.4430631697177887, 0.2628295123577118, -0.08174681663513184]","[0.5661011338233948, 0.4486768841743469, -0.07533275336027145]","[0.406219482421875, 0.3863331973552704, -0.13364635407924652]","[0.5655876398086548, 0.5954963564872742, -0.1792576014995575]","[0.4083262085914612, 0.4703589677810669, -0.34636929631233215]","[0.522004246711731, 0.5898944139480591, -0.009147260338068008]","[0.4550466239452362, 0.5827152132987976, 0.009222679771482944]"
"[0.5584273934364319, 0.28842440247535706, -0.12501849234104156]","[0.4430101811885834, 0.26274871826171875, -0.10345356166362762]","[0.5663151144981384, 0.44914519786834717, -0.07711233198642731]","[0.40507397055625916, 0.3869645893573761, -0.15784256160259247]","[0.5656052231788635, 0.5953120589256287, -0.17978015542030334]","[0.41249528527259827, 0.4706108570098877, -0.377545028924942]","[0.5219843983650208, 0.5900394320487976, -0.008424211293458939]","[0.45507511496543884, 0.5830568075180054, 0.008496567606925964]"
"[0.5584201812744141, 0.288451611995697, -0.1295289546251297]","[0.4427730143070221, 0.2627792954444885, -0.10896997153759003]","[0.5663828253746033, 0.4492524564266205, -0.07706857472658157]","[0.40449434518814087, 0.38708561658859253, -0.16988877952098846]","[0.5656140446662903, 0.5951717495918274, -0.16928280889987946]","[0.41543129086494446, 0.4631384015083313, -0.3990882337093353]","[0.5219447612762451, 0.5902339816093445, -0.007688720710575581]","[0.4552118480205536, 0.5831397771835327, 0.0077474056743085384]"
"[0.5584135055541992, 0.2884571850299835, -0.137947216629982]","[0.44216683506965637, 0.262989342212677, -0.12177490442991257]","[0.5664883255958557, 0.4492685794830322, -0.07791311293840408]","[0.40419822931289673, 0.3875255584716797, -0.1827431321144104]","[0.565621018409729, 0.5950460433959961, -0.16418860852718353]","[0.41997331380844116, 0.46204710006713867, -0.40762612223625183]","[0.52192622423172, 0.5906306505203247, -0.006003519054502249]","[0.45549365878105164, 0.5834931135177612, 0.006044947542250156]"
"[0.5583029985427856, 0.28844794631004333, -0.1394602358341217]","[0.44126197695732117, 0.2633513808250427, -0.12812921404838562]","[0.5666059851646423, 0.44930800795555115, -0.07642509788274765]","[0.4037388861179352, 0.38825851678848267, -0.19586308300495148]","[0.5656681656837463, 0.5949884057044983, -0.15803246200084686]","[0.42376598715782166, 0.45513153076171875, -0.4262121021747589]","[0.5219236612319946, 0.5909442901611328, -0.0038937286008149385]","[0.4556545913219452, 0.5836284160614014, 0.003919478040188551]"
"[0.5580751895904541, 0.28837624192237854, -0.14075465500354767]","[0.4406660199165344, 0.26384928822517395, -0.129318967461586]","[0.566606879234314, 0.44922706484794617, -0.07707691937685013]","[0.4038143754005432, 0.3886639475822449, -0.202503502368927]","[0.5656039714813232, 0.594366192817688, -0.15878421068191528]","[0.42602264881134033, 0.4466201663017273, -0.43437066674232483]","[0.5218218564987183, 0.5910530090332031, -0.0032199504785239697]","[0.45569276809692383, 0.5836886763572693, 0.0032378979958593845]"
"[0.5579567551612854, 0.2883477210998535, -0.14221826195716858]","[0.4406625032424927, 0.26387593150138855, -0.13362310826778412]","[0.566652238368988, 0.4491507411003113, -0.07727667689323425]","[0.4039384424686432, 0.38904738426208496, -0.2116282433271408]","[0.565604567527771, 0.5943425893783569, -0.15569059550762177]","[0.429841011762619, 0.44111934304237366, -0.43733125925064087]","[0.521784782409668, 0.5910561680793762, -0.0017966913292184472]","[0.4559035003185272, 0.5835878252983093, 0.0018082804745063186]"
"[0.5577699542045593, 0.28827524185180664, -0.1403418481349945]","[0.440708190202713, 0.2635655403137207, -0.13261044025421143]","[0.5665932297706604, 0.4487760365009308, -0.07531584054231644]","[0.4048939347267151, 0.38864395022392273, -0.21183070540428162]","[0.5655965209007263, 0.5940200686454773, -0.14934198558330536]","[0.4325791895389557, 0.43880695104599, -0.43783313035964966]","[0.5216402411460876, 0.5907579660415649, -0.00019909862021449953]","[0.45591357350349426, 0.5828675627708435, 0.0002205436467193067]"
