l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[0.5942246913909912, 0.5726078748703003, -0.10479136556386948]","[0.48454663157463074, 0.5669193267822266, -0.08316432684659958]","[0.6082435250282288, 0.7147723436355591, -0.06873439252376556]","[0.4300462603569031, 0.6628363728523254, -0.056040357798337936]","[0.6075851917266846, 0.8557662963867188, -0.16831757128238678]","[0.37403497099876404, 0.7519928812980652, -0.14707055687904358]","[0.5649254322052002, 0.8519772291183472, 0.004789129365235567]","[0.5025678277015686, 0.8474724888801575, -0.004536314867436886]"
"[0.5944440960884094, 0.5729591846466064, -0.1187489852309227]","[0.4849216341972351, 0.5657187700271606, -0.08858672529459]","[0.6088539958000183, 0.7147706747055054, -0.08423683047294617]","[0.4278191328048706, 0.6571721434593201, -0.06013619899749756]","[0.6078985333442688, 0.8558542132377625, -0.18302512168884277]","[0.3697194457054138, 0.740203320980072, -0.14923350512981415]","[0.5649306178092957, 0.8516562581062317, 0.0038535206113010645]","[0.5026102662086487, 0.8462159037590027, -0.0036122684832662344]"
"[0.5947099924087524, 0.5733577013015747, -0.11479805409908295]","[0.4853598177433014, 0.5649659633636475, -0.08649655431509018]","[0.6093219518661499, 0.7148370742797852, -0.08243841677904129]","[0.4269140660762787, 0.6492003798484802, -0.06436748802661896]","[0.6081709265708923, 0.8562227487564087, -0.17927995324134827]","[0.3672327399253845, 0.7315512895584106, -0.1544361412525177]","[0.5650120973587036, 0.8514935374259949, 0.003317297901958227]","[0.502845048904419, 0.8456921577453613, -0.003079882124438882]"
"[0.5948958992958069, 0.5734813213348389, -0.11538083106279373]","[0.48562419414520264, 0.5644593834877014, -0.08598501980304718]","[0.609561562538147, 0.7148388624191284, -0.08416353911161423]","[0.42662081122398376, 0.6476076245307922, -0.06650561094284058]","[0.6083089709281921, 0.8563776016235352, -0.18068885803222656]","[0.36668163537979126, 0.7301206588745117, -0.15671564638614655]","[0.5650892853736877, 0.8512735962867737, 0.0028627333231270313]","[0.5030375719070435, 0.8453559875488281, -0.0026268588844686747]"
"[0.5951406359672546, 0.57355135679245, -0.1217927485704422]","[0.48604047298431396, 0.5633834004402161, -0.08585288375616074]","[0.6102982759475708, 0.7148446440696716, -0.093457892537117]","[0.42513716220855713, 0.6371901035308838, -0.06253810226917267]","[0.608468770980835, 0.8565381765365601, -0.19186809659004211]","[0.3610173165798187, 0.7065173387527466, -0.15467242896556854]","[0.5653418898582458, 0.8511896729469299, 0.00015920984151307493]","[0.5033318400382996, 0.8453816771507263, 8.9567773102317e-05]"
"[0.5953816771507263, 0.5736950635910034, -0.1358255296945572]","[0.4865875542163849, 0.5621159672737122, -0.08616038411855698]","[0.6108866333961487, 0.714863657951355, -0.1122705265879631]","[0.42419013381004333, 0.6304455995559692, -0.06238193437457085]","[0.6084574460983276, 0.8567033410072327, -0.2126588076353073]","[0.35623207688331604, 0.693719208240509, -0.154303640127182]","[0.5653415322303772, 0.850483775138855, -0.0025107061956077814]","[0.5033687949180603, 0.8450295925140381, 0.002749925944954157]"
"[0.5956874489784241, 0.5738013982772827, -0.13336409628391266]","[0.4873207211494446, 0.5602570176124573, -0.0846659317612648]","[0.6112907528877258, 0.7149294018745422, -0.11083707213401794]","[0.42449751496315, 0.6233266592025757, -0.05562971904873848]","[0.60844886302948, 0.8568829894065857, -0.20968787372112274]","[0.3559349775314331, 0.6816251873970032, -0.14498139917850494]","[0.5652118921279907, 0.8490193486213684, -0.0034989744890481234]","[0.5032891035079956, 0.8435567617416382, 0.0037213340401649475]"
"[0.5958260297775269, 0.5740993618965149, -0.12900607287883759]","[0.48778465390205383, 0.5580991506576538, -0.08278866857290268]","[0.6115283966064453, 0.7151896357536316, -0.10684364289045334]","[0.4242804944515228, 0.6154715418815613, -0.05479035899043083]","[0.6084268093109131, 0.857123076915741, -0.2063150405883789]","[0.3554340898990631, 0.6687801480293274, -0.14450578391551971]","[0.5650984644889832, 0.848145067691803, -0.0031476328149437904]","[0.5032194256782532, 0.8427791595458984, 0.0033731721341609955]"
"[0.5958846807479858, 0.5741634964942932, -0.12743663787841797]","[0.48790207505226135, 0.5552751421928406, -0.08261684328317642]","[0.6116034984588623, 0.7156255841255188, -0.10753046721220016]","[0.42282527685165405, 0.6109052300453186, -0.056812938302755356]","[0.6083720922470093, 0.8576349020004272, -0.2089511752128601]","[0.35044848918914795, 0.6598594784736633, -0.1475926786661148]","[0.5648778080940247, 0.8475450873374939, -0.0029133199714124203]","[0.5030105710029602, 0.842282235622406, 0.0031429913360625505]"
"[0.5959476828575134, 0.5741770267486572, -0.11722876131534576]","[0.48796260356903076, 0.5534967184066772, -0.07227636128664017]","[0.6116647124290466, 0.7159984111785889, -0.10227347910404205]","[0.42171069979667664, 0.6044816374778748, -0.05698700249195099]","[0.6083493828773499, 0.8581932783126831, -0.20332962274551392]","[0.3468083143234253, 0.6429619193077087, -0.15598316490650177]","[0.5646476745605469, 0.847477912902832, -0.0027357356157153845]","[0.5029306411743164, 0.8423037528991699, 0.0029682812746614218]"
