l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[1115.330078125, 623.4343872070312]","[941.2320556640625, 556.2774047851562]","[1145.81201171875, 784.9337768554688]","[891.3968505859375, 422.07861328125]","[1138.48583984375, 936.4751586914062]","[893.853759765625, 283.9028625488281]","[1071.013671875, 932.420166015625]","[950.8401489257812, 917.2952270507812]"
"[1115.18310546875, 623.384033203125]","[941.3544921875, 557.1302490234375]","[1146.031982421875, 784.9827880859375]","[887.322021484375, 425.39276123046875]","[1137.99365234375, 936.5137939453125]","[885.32666015625, 282.2682800292969]","[1070.3212890625, 932.6998901367188]","[950.651123046875, 917.598876953125]"
"[1115.2049560546875, 623.0661010742188]","[940.6834716796875, 557.6649169921875]","[1146.1943359375, 784.47802734375]","[882.1204833984375, 428.27288818359375]","[1137.7392578125, 935.3685302734375]","[878.5750122070312, 285.1302795410156]","[1070.00048828125, 930.7450561523438]","[950.29296875, 915.849609375]"
"[1115.0787353515625, 622.7382202148438]","[940.1102294921875, 558.0397338867188]","[1145.8720703125, 783.67431640625]","[878.280029296875, 429.3022155761719]","[1137.493896484375, 933.7470703125]","[872.8660888671875, 283.78192138671875]","[1070.318115234375, 931.3225708007812]","[950.6322021484375, 916.6380615234375]"
"[1116.4697265625, 621.5924072265625]","[939.617919921875, 555.9373168945312]","[1149.132568359375, 787.1753540039062]","[877.0914916992188, 421.52301025390625]","[1143.61865234375, 933.4465942382812]","[862.3793334960938, 275.5010986328125]","[1070.5126953125, 928.7821044921875]","[949.9846801757812, 913.264892578125]"
"[1116.7117919921875, 621.0381469726562]","[939.2568969726562, 555.1740112304688]","[1148.82373046875, 787.2830810546875]","[872.4107666015625, 420.75677490234375]","[1144.6588134765625, 934.241455078125]","[852.5762329101562, 276.32916259765625]","[1070.8343505859375, 926.4658813476562]","[950.20068359375, 910.7850341796875]"
"[1112.733154296875, 628.2484130859375]","[933.7948608398438, 558.7289428710938]","[1141.28466796875, 767.981689453125]","[869.9965209960938, 428.7547302246094]","[1141.568603515625, 917.060302734375]","[839.6185913085938, 290.62799072265625]","[1072.3232421875, 919.348388671875]","[952.82373046875, 902.0897216796875]"
"[1112.3082275390625, 627.9305419921875]","[934.5174560546875, 559.2833862304688]","[1141.58837890625, 768.5934448242188]","[866.635498046875, 433.90557861328125]","[1141.2239990234375, 917.2213134765625]","[829.7221069335938, 294.6744689941406]","[1071.7298583984375, 918.54736328125]","[953.279052734375, 901.247314453125]"
"[1112.85791015625, 626.70263671875]","[934.33251953125, 559.7696533203125]","[1142.388671875, 767.2930908203125]","[862.8175048828125, 439.41058349609375]","[1141.1572265625, 917.0370483398438]","[821.1177978515625, 299.9777526855469]","[1071.166015625, 918.5845947265625]","[952.6671142578125, 901.4481201171875]"
"[1112.9425048828125, 626.2132568359375]","[933.5396118164062, 561.0703735351562]","[1142.873291015625, 767.0128784179688]","[860.5958251953125, 444.8525390625]","[1141.97216796875, 916.6568603515625]","[813.861572265625, 304.9051513671875]","[1071.426513671875, 918.9822998046875]","[952.72900390625, 902.3759765625]"
"[1112.8931884765625, 625.5535888671875]","[932.7332763671875, 560.7791137695312]","[1143.7060546875, 767.0826416015625]","[856.861083984375, 447.981689453125]","[1142.7606201171875, 916.148193359375]","[807.1458740234375, 310.324951171875]","[1070.3868408203125, 917.6629028320312]","[951.5892333984375, 901.0296630859375]"
"[1113.4898681640625, 625.1976318359375]","[933.2513427734375, 561.595947265625]","[1144.20556640625, 767.384765625]","[852.495361328125, 453.1694641113281]","[1143.748291015625, 915.9794311523438]","[798.255615234375, 318.1849365234375]","[1070.5972900390625, 918.165771484375]","[952.1376342773438, 901.9229736328125]"
"[1113.9036865234375, 624.4801635742188]","[932.914794921875, 561.75537109375]","[1145.0924072265625, 766.689453125]","[850.889404296875, 459.4856872558594]","[1145.2447509765625, 915.8153686523438]","[792.8992919921875, 328.5322265625]","[1070.466552734375, 918.1962890625]","[951.7999267578125, 902.0234985351562]"
"[1114.459228515625, 624.1316528320312]","[932.729736328125, 562.2935791015625]","[1146.3724365234375, 766.1427612304688]","[849.0015869140625, 463.43682861328125]","[1146.0076904296875, 915.5968017578125]","[786.0375366210938, 333.30450439453125]","[1070.6129150390625, 917.5614624023438]","[951.8450927734375, 901.4815063476562]"
"[1115.4677734375, 621.229248046875]","[933.9336547851562, 563.138671875]","[1149.6865234375, 759.8243408203125]","[841.6778564453125, 471.78228759765625]","[1147.761962890625, 912.6168823242188]","[768.816650390625, 338.3978271484375]","[1070.6978759765625, 914.2333984375]","[951.3912963867188, 896.643310546875]"
"[1115.3116455078125, 621.6782836914062]","[932.8291625976562, 562.8114013671875]","[1150.20654296875, 760.36669921875]","[834.9163818359375, 470.99945068359375]","[1148.14990234375, 913.3558349609375]","[755.6976318359375, 338.600830078125]","[1071.20458984375, 913.851318359375]","[951.743408203125, 896.0203857421875]"
"[1115.251708984375, 624.8287963867188]","[930.3065185546875, 564.2503662109375]","[1149.01806640625, 766.5690307617188]","[833.698486328125, 472.0697021484375]","[1148.1011962890625, 915.4326171875]","[752.2877197265625, 352.66192626953125]","[1071.9130859375, 916.1998291015625]","[952.5543212890625, 900.3240966796875]"
"[1115.6939697265625, 624.6964111328125]","[929.4708251953125, 564.7532958984375]","[1149.6937255859375, 766.4071044921875]","[827.8037109375, 475.5615234375]","[1149.265380859375, 915.5601196289062]","[743.3076171875, 359.54547119140625]","[1072.6895751953125, 915.36865234375]","[952.9290771484375, 899.7843017578125]"
