l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[1055.1746826171875, 301.86590576171875]","[864.6016845703125, 269.0193786621094]","[1092.69970703125, 442.72802734375]","[742.5787353515625, 294.688720703125]","[1089.85205078125, 589.4105224609375]","[616.2439575195312, 297.7096252441406]","[1004.7926025390625, 583.9959716796875]","[893.7896118164062, 570.5214233398438]"
"[1055.0572509765625, 302.3341979980469]","[864.0994873046875, 270.7623596191406]","[1092.7843017578125, 442.1370849609375]","[742.082763671875, 300.11895751953125]","[1089.66748046875, 588.8863525390625]","[617.1039428710938, 310.5250244140625]","[1005.087890625, 583.614013671875]","[893.932373046875, 570.460205078125]"
"[1054.575927734375, 301.7420349121094]","[863.3904418945312, 271.9783020019531]","[1092.1988525390625, 442.1170349121094]","[742.1651000976562, 308.69580078125]","[1089.1767578125, 588.0036010742188]","[617.371337890625, 320.5288391113281]","[1005.2020263671875, 583.5316162109375]","[893.8114013671875, 570.8314208984375]"
"[1054.0625, 301.15093994140625]","[863.466552734375, 272.57855224609375]","[1092.14990234375, 441.70928955078125]","[741.694580078125, 313.39398193359375]","[1089.45166015625, 587.4149780273438]","[616.8089599609375, 328.226806640625]","[1004.5285034179688, 583.1702880859375]","[893.618896484375, 570.8314819335938]"
"[1054.2620849609375, 299.97100830078125]","[863.48388671875, 272.77545166015625]","[1091.99169921875, 441.8127136230469]","[740.0155029296875, 318.896728515625]","[1088.649658203125, 586.5120849609375]","[616.0352783203125, 336.10797119140625]","[1003.58447265625, 582.2760620117188]","[892.649658203125, 570.4190673828125]"
"[1053.8895263671875, 299.48175048828125]","[862.828125, 272.7632141113281]","[1091.967529296875, 441.24310302734375]","[738.805419921875, 322.8209228515625]","[1088.2994384765625, 586.28515625]","[614.23291015625, 342.6330871582031]","[1003.796630859375, 581.9832763671875]","[892.7425537109375, 570.2373657226562]"
"[1053.5823974609375, 299.55377197265625]","[862.2916259765625, 274.0777587890625]","[1092.563232421875, 440.4920654296875]","[739.23291015625, 325.6394958496094]","[1088.5096435546875, 585.4729614257812]","[614.819580078125, 350.4803466796875]","[1004.555908203125, 581.8468017578125]","[893.23095703125, 570.8656616210938]"
"[1053.4609375, 299.15673828125]","[862.406982421875, 275.24444580078125]","[1092.55859375, 440.214599609375]","[739.164794921875, 329.7094421386719]","[1088.465576171875, 584.7526245117188]","[615.4334106445312, 360.75970458984375]","[1005.0430297851562, 581.9227294921875]","[894.0177001953125, 571.6060791015625]"
"[1052.4449462890625, 299.14044189453125]","[861.3740844726562, 278.38848876953125]","[1092.435791015625, 439.73565673828125]","[739.850830078125, 339.2542419433594]","[1088.3199462890625, 584.487548828125]","[618.6578369140625, 375.71484375]","[1004.7628784179688, 583.4906005859375]","[893.7835693359375, 574.1724243164062]"
"[1052.13818359375, 298.7034606933594]","[860.2403564453125, 278.9591369628906]","[1092.3465576171875, 439.73004150390625]","[740.7151489257812, 344.03277587890625]","[1088.9404296875, 584.4223022460938]","[621.6641235351562, 381.49017333984375]","[1005.0352783203125, 584.3322143554688]","[893.462890625, 575.3798828125]"
